"industry","CAR","RateVulnerability","MktBeta","SMBBeta","HMLBeta","RMWBeta","CMABeta","HistVol","PreMomentum","n_estimation","TechGrowth","Finance","Defensive","CAR_z","RateVulnerability_z","MktBeta_z","SMBBeta_z","HMLBeta_z","RMWBeta_z","CMABeta_z","HistVol_z","PreMomentum_z","fitted_m2","rv_resid","car_resid","CAR_1","CAR_3_rebuilt","CAR_5","RateVulnerability_long","RateVulnerability_10Y","Z_presample_simple_2Y","Z_presample_2Y","Z_presample_10Y","Z_recent_nonoverlap_2Y","Z_verylong_2Y","Z_precovid_2Y","Z_termspread","RV_early_2Y","RV_late_2Y","RateVulnerability_long_z","RateVulnerability_10Y_z","RateVulnerability_winsor_z","Z_presample_simple_2Y_z","Z_presample_2Y_z","Z_presample_10Y_z","Z_recent_nonoverlap_2Y_z","Z_verylong_2Y_z","Z_precovid_2Y_z","Z_termspread_z","RV_early_2Y_z","RV_late_2Y_z","GoldDummy","FinanceDummy","DefensiveDummy","HighGrowthProxy","HighVolProxy","Z_early_nonoverlap_2Y_z"
"Aero",1.39,2.09019459165842,1.05295138572636,0.368925847794676,0.406415051109368,-0.229724237934589,0.232444937647766,1.69757444312093,-0.0200000000000012,230,0,0,0,1.39789514034312,1.01159368374971,0.34262077497927,0.211272927881702,0.724323771608098,-0.570199872470744,0.33284341077403,-0.235993018712892,0.352861933277374,-1.82684959636806,0.856223595983669,2.27681679787512,-0.94,1.39,1.97,2.36213583735034,1.97842015163421,-23.6953458694987,9.34254213107776,8.34337540849235,4.78319153106604,4.1933540334287,-1.1372436421955,-0.353771747689987,6.09052566078044,2.08393572821913,1.25531469263855,0.655953481345036,1.28551217592331,-0.221189428623866,2.80236011804757,2.52835474381759,0.778601975727454,0.97568365343103,-0.587271200717464,-0.384984966263444,0.523675138244398,0.423857019410201,0,0,0,0,0,2.80236011804757
"Agric",2.18,0.636955182399457,0.833265999397271,-0.0173257150472888,0.684145019210927,-0.294154217297654,0.0210095953321512,1.63175801824658,9.84,230,0,0,0,1.66584523136903,-0.0182208908983207,-0.536997465356429,-0.753702746049593,1.53927185343412,-0.717256536111323,-0.118147556494518,-0.347587719790149,1.37689914161249,0.011043186937032,-0.232525009111983,2.42424192323798,-0.38,2.18,-0.95,0.404255774355663,0.779257688213033,-24.1348912137862,-1.02044241925161,-3.33805520829681,4.12683553375518,0.771614547571747,-1.99770590292347,-3.45922994975172,-4.23314114472013,6.19752281430507,-0.183260970511558,-0.0252151272610873,0.00316034254838862,-0.307925871667471,-0.564886564720259,-1.35706599270379,0.64740937206002,-0.0921718528359658,-0.902413639289573,-1.36374861452271,-0.5025496355485,1.29497729987957,0,0,0,0,0,-0.564886564720259
"Autos",-4.62,-2.97599815031647,1.43834386084026,0.102893670487738,-0.258847590447048,-0.349822238686265,-0.3687101101504,3.52911210987022,-17.09,230,0,0,0,-0.640560615436259,-2.57848176453598,1.88572865512967,-0.453357598646958,-1.2277684615522,-0.844314678575579,-0.949418549386652,2.86946126299299,-1.41998950143667,-7.10519301178093,-0.94966548884371,3.52781401790297,-4.91,-4.62,-6.79,-2.5849999483712,-4.75406752129814,-28.1732564148535,-4.06501571913814,-0.958592216057762,6.27237028075948,-1.94975898586966,-1.97819265475276,1.19620570435491,13.3773917381809,0.84929887571173,-2.37965216674732,-3.16834839643855,-1.81101448975517,-1.10482529923258,-1.55416038778705,-0.565620564902923,1.07625940294522,-0.941457347627772,-0.895266954427671,0.103529606135527,1.24802653710542,0.16240219209611,0,0,0,1,1,-1.55416038778705
"Banks",-3.11,-1.15808938248429,1.1280425952178,0.120849972373516,0.860854450847351,-0.0307074329434411,-0.660183184243546,1.6716258830379,0.369999999999998,230,0,1,0,-0.128402846513319,-1.29025015413075,0.643285278254847,-0.408497211840878,2.05779354317848,-0.11595873131677,-1.57112976463743,-0.279989966456256,0.393366447603003,-0.350561731071737,-0.522741561493697,-2.18552951980654,-2.05,-3.11,-1.15,-0.977019559426779,-1.32476377723908,-32.6658146046678,-1.92224781992629,-1.97024699987037,-3.47542697219782,-1.95310956686326,-1.58002010260046,-1.93184082466074,-3.53934576504051,-4.04363993573844,-1.19816945078365,-1.22037709890133,-1.58080350683699,-1.99135162152255,-0.857910377423656,-0.902112267347069,-0.872132791042861,-0.942502996011581,-0.749437119948244,-0.882353324322678,-0.433582860469037,-0.873758740090584,0,1,0,0,0,-0.857910377423656
"Beer",-2.03,1.14196654704269,0.620489161300033,-0.080167494445967,-0.135203010057646,0.467368044942576,0.465249970689699,1.10152270550468,3.45,230,0,0,1,0.237908670332227,0.339647234861966,-1.38895394292984,-0.910700915791867,-0.864955927113427,1.02086171691532,0.829415865911837,-1.246625480334,0.713248253046427,-2.86808617899454,-0.00113294521303597,0.83933001958027,-1.38,-2.03,-1.57,1.12188374562998,1.20069781976754,-19.0814947426149,2.29391947142716,0.896232755122555,0.973588838599487,4.49078830987992,3.29682782268731,1.65181066652547,-4.46715089032003,4.07383498967941,0.344024716790434,0.214178446819572,0.448787019886879,0.689271893921369,0.512049720157776,0.0513223115358342,0.0171376206962799,1.06850685963179,1.036697865705,0.247125026174676,-0.525811389610113,0.845251186222028,0,0,1,1,0,0.512049720157776
"BldMt",-4.45,1.98660226122486,1.18510631469838,1.00442277336847,0.23733212635945,0.597187853988635,-0.133803909027079,1.8270604681929,-7.45,230,0,0,0,-0.582900469266126,0.938184656288333,0.871767879465851,1.79894048196159,0.228180679321815,1.31716583157587,-0.448364308871619,-0.0164436541101364,-0.418800993490367,-2.76650707717816,1.04654311139027,-2.83247416365472,-3.52,-4.45,-2.57,1.75553365173982,2.33890608978692,-26.6404043493392,1.85974297118174,1.4740683079797,-0.37647518771216,0.941174823766977,0.5949280380523,2.76011324549808,-1.74211756036946,-1.39985450431639,0.809606521884606,0.860722820282649,1.19410134986899,-0.802344252390287,0.370972661412121,0.243519167642107,-0.252713520232169,-0.0392555290399469,0.0471329239643189,0.596434598221147,-0.254929273275573,-0.313893333494181,0,0,0,0,1,0.370972661412121
"Books",0.84,1.62742418637641,0.942822286381795,0.818202758584967,0.18136817057915,0.170850390262572,-0.0607357180216652,1.72736635775109,-9.01,230,0,0,0,1.21134760861622,0.683658929820759,-0.0983351128653117,1.3337053824761,0.0639646290111274,0.3440820960178,-0.292510070988792,-0.185479490911612,-0.580819050792881,-2.00755981775632,0.0712899519090774,2.76929183575738,-0.67,0.84,2.07,1.50771969535879,2.17255408675589,-19.6505051730138,0.24066602131551,-0.209682416066409,-1.54238479080221,-0.0952718723740192,0.0422535061779456,-0.372907497485792,3.23554353245316,-1.35285607270764,0.627522269954793,0.766228733034281,0.877159309999008,0.576987822598727,-0.155114342009074,-0.316521823308009,-0.485755828212797,-0.362709525465164,-0.155282925818831,-0.391016081501087,0.239875453110782,-0.303940636233165,0,0,0,0,1,-0.155114342009074
"Boxes",0.13,-0.926891218885703,0.983001379732436,0.296984011291403,0.312575901049266,0.382106344669146,0.0840809617102345,1.70130393096066,-8.97000000000001,230,0,0,0,0.970531704023319,-1.12641531935491,0.0625416026137555,0.0315400055012554,0.448969851883817,0.826258190692229,0.0163834836725549,-0.229669504765731,-0.576664741631279,-2.63539907879304,-0.910490316411028,3.76501035340793,-2.82,0.13,1.35,-0.860035952328705,1.18249046076024,-23.2959665256963,0.355556017172955,-0.494776224126767,0.522841861699968,1.06184766833565,1.64103615666932,-0.492889323963374,-4.99230992299421,4.03876274938067,-1.11221435407492,0.203835993832835,-1.37679211884777,-0.142379030204885,-0.117783112231075,-0.411348341568495,-0.0729577996806987,-0.00159598129758361,0.430267755737343,-0.4288313868657,-0.578014857589553,0.837824057741129,0,0,0,0,0,-0.117783112231075
"BusSv",-6.4,0.418944170612486,1.0276773684465,0.160671709708274,-0.0159796654856015,-0.0917507038637474,-0.158717882501602,1.78032414069642,-9.61,230,1,0,0,-1.24429626357058,-0.172710864086199,0.241423845236182,-0.309010215493254,-0.515116705109338,-0.255285483365897,-0.501505741485121,-0.0956871940984482,-0.643133688216925,-3.92240700824049,0.143199721309465,-2.63480944245928,-3.29,-6.4,-6.65,0.260358337658456,0.878828884923541,-23.0482893723831,2.59309585673354,2.5181571199591,-2.55235878649575,1.2594144393634,-0.742320310457376,1.6359027633376,-5.01469381279328,-3.13240612958469,-0.288991323629132,0.0313449933142694,-0.189214581280233,-0.0935043564522353,0.609261164032153,0.59079891906264,-0.687629687329351,0.0600606016098481,-0.44263138617443,0.242111248384986,-0.580239929618555,-0.680789870785542,0,0,0,1,1,0.609261164032153
"Chems",-1.24,0.877283119934938,1.02186870375344,0.306188779025698,0.409856234749714,0.048856364520093,-0.0440938190486494,1.49898486566474,-3.99,230,0,0,0,0.505858761358135,0.152083610336848,0.218166005917009,0.0545363576258334,0.734421299167263,0.0656397530724604,-0.257012949113006,-0.57271055655533,-0.0594532510117153,-1.91515254053062,0.247502628690172,0.403423765741729,-2.72,-1.24,1.29,0.656966446956798,1.0936031508386,-26.6747579599025,-2.29524593146937,-3.01665632478342,-1.4683787169141,-0.208508840593616,0.525909969649686,1.81673949552141,-5.25397064956201,0.567663429776895,0.00242120190212245,0.153344715904301,0.215227927109,-0.809123325413558,-0.979108729855069,-1.25016385651313,-0.470963475342762,-0.398048486986367,0.0218552059577965,0.299106515496938,-0.604025259222183,0.102761216101529,0,0,0,0,0,-0.979108729855069
