"method","term","estimate","standard_error","statistic","p_value","note"
"systemfit_3SLS","returnEq_(Intercept)",-2.73142857142857,0.310839848010599,-8.78725359348211,1.53260556309906e-18,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","returnEq_RateVulnerability_z",-1.67390048785344,0.750512127516241,-2.23034435618393,0.0257245905893984,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","returnEq_MktBeta_z",-0.735318928070664,0.71810133876579,-1.02397654533616,0.305846353360906,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","returnEq_SMBBeta_z",2.16432594381209,0.574242052371762,3.76901331916198,0.000163894142872693,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","returnEq_HMLBeta_z",0.373600161771668,0.461858480938921,0.808906141578627,0.418569135990044,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","returnEq_RMWBeta_z",-1.39243654372819,0.782226878727952,-1.78009293926662,0.0750607519281183,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","returnEq_CMABeta_z",0.14706792332142,0.426165060565194,0.345096153885477,0.730022084806179,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","returnEq_HistVol_z",-1.52556555577704,0.798713416910155,-1.91002870801737,0.0561295171106712,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","returnEq_PreMomentum_z",1.38100813438024,0.511192978858846,2.70153971492942,0.00690192369243678,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","vulnEq_(Intercept)",0.450715132126453,0.204367357240745,2.20541645305668,0.027424884543092,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","vulnEq_CAR_3day",0.165010770129977,0.0608397663308662,2.71221899887971,0.00668344208126779,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","vulnEq_Z_precovid_2Y_z",0.843800586469341,0.353672057188393,2.38582768787941,0.0170407333382721,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","vulnEq_Z_early_nonoverlap_2Y_z",0.204362235640743,0.239039462174903,0.854930954836293,0.392589372624806,"Optional system estimator; not used as main evidence."
"systemfit_3SLS","vulnEq_Z_verylong_2Y_z",-0.209358528399208,0.459575325271628,-0.455547800081452,0.648715187229686,"Optional system estimator; not used as main evidence."
