"equation","endogenous_rhs_variable","excluded_IV","coefficient","std_error","p_value","joint_first_stage_F","joint_first_stage_p","partial_R2","weak_IV_flag_F_below_10","N"
"return_equation_system_IV_set","RateVulnerability_z","Z_precovid_2Y_z",0.786125168784469,0.285540152541859,0.00900265152426375,6.23623769705106,0.00150178230039947,0.329908969386784,TRUE,49
"return_equation_system_IV_set","RateVulnerability_z","Z_early_nonoverlap_2Y_z",0.342598471532857,0.231819978929916,0.147685378585724,6.23623769705106,0.00150178230039947,0.329908969386784,TRUE,49
"return_equation_system_IV_set","RateVulnerability_z","Z_verylong_2Y_z",-0.506414707731291,0.427682182585652,0.243730897398673,6.23623769705106,0.00150178230039947,0.329908969386784,TRUE,49
"return_equation_primary_IV","RateVulnerability_z","Z_precovid_2Y_z",0.572197192546876,0.141226095610046,0.000227532997251472,16.4157806379011,0.000227532997251469,0.290978525020581,FALSE,49
"vulnerability_equation_exploratory","CAR_3day","MktBeta_z",-0.455492502878982,0.713867426737238,0.527259242763382,5.62792136263045,0.000166056212785288,0.509015061910846,TRUE,49
"vulnerability_equation_exploratory","CAR_3day","SMBBeta_z",1.1001536794965,0.458642316678152,0.0214660729287695,5.62792136263045,0.000166056212785288,0.509015061910846,TRUE,49
"vulnerability_equation_exploratory","CAR_3day","HMLBeta_z",0.593051380210399,0.476113820473089,0.220534004644146,5.62792136263045,0.000166056212785288,0.509015061910846,TRUE,49
"vulnerability_equation_exploratory","CAR_3day","RMWBeta_z",-0.219499967394059,0.792163730801176,0.78321345035756,5.62792136263045,0.000166056212785288,0.509015061910846,TRUE,49
"vulnerability_equation_exploratory","CAR_3day","CMABeta_z",-0.015580110480787,0.442378017535759,0.972089472158889,5.62792136263045,0.000166056212785288,0.509015061910846,TRUE,49
"vulnerability_equation_exploratory","CAR_3day","HistVol_z",-0.813472544947978,0.845624124207568,0.342141992748423,5.62792136263045,0.000166056212785288,0.509015061910846,TRUE,49
"vulnerability_equation_exploratory","CAR_3day","PreMomentum_z",1.29456945890152,0.534063582166733,0.0202183499279626,5.62792136263045,0.000166056212785288,0.509015061910846,TRUE,49
